study_hours,attendance,previous_marks,assignment_score,sleep_hours,internet_access,extracurricular,result
7,73,99,61,6,No,Yes,Pass
4,72,57,96,8,Yes,No,Pass
8,57,55,96,6,Yes,No,Pass
5,96,54,57,8,Yes,No,Pass
7,86,41,73,8,No,No,Pass
3,52,34,70,6,No,No,Fail
7,100,77,92,5,No,No,Pass
8,82,66,52,7,Yes,Yes,Pass
5,77,73,77,4,No,No,Pass
4,96,44,61,9,Yes,Yes,Pass
8,57,72,86,7,Yes,No,Pass
8,83,77,62,4,Yes,No,Pass
3,84,99,53,4,No,No,Pass
6,81,75,68,8,No,Yes,Pass
5,73,72,63,4,No,Yes,Pass
2,63,50,85,9,No,No,Fail
8,81,52,57,4,Yes,Yes,Pass
6,95,76,66,6,No,No,Pass
2,92,44,36,7,Yes,No,Fail
5,65,54,97,6,No,Yes,Pass
1,53,65,66,9,No,Yes,Fail
6,86,80,85,4,No,Yes,Pass
9,70,44,94,9,Yes,Yes,Pass
1,63,97,94,8,Yes,No,Pass
3,80,50,76,6,Yes,Yes,Pass
7,97,42,49,6,Yes,Yes,Pass
4,67,48,48,5,Yes,No,Fail
9,56,63,58,4,No,Yes,Pass
3,59,97,89,8,Yes,Yes,Pass
5,56,81,47,6,Yes,Yes,Pass
3,82,56,64,6,Yes,Yes,Pass
7,72,58,72,8,Yes,No,Pass
5,70,57,40,9,No,No,Pass
9,68,64,78,9,Yes,Yes,Pass
7,97,37,67,4,No,Yes,Pass
2,68,45,93,5,No,No,Fail
4,85,65,98,6,No,Yes,Pass
9,78,59,37,5,Yes,Yes,Pass
2,67,47,63,9,No,Yes,Fail
9,51,31,77,9,Yes,Yes,Pass
5,50,78,85,7,Yes,Yes,Pass
2,96,33,94,4,Yes,Yes,Pass
4,54,36,60,7,Yes,Yes,Fail
7,69,68,33,7,Yes,Yes,Pass
8,60,42,79,7,No,Yes,Pass
3,91,60,98,4,No,No,Pass
1,51,100,59,4,Yes,No,Pass
4,52,92,88,8,No,No,Pass
2,72,85,96,5,Yes,Yes,Pass
8,61,71,74,5,No,Yes,Pass
4,69,90,33,8,No,No,Pass
2,54,71,55,8,No,Yes,Fail
6,86,85,56,9,No,No,Pass
6,87,65,75,7,No,Yes,Pass
4,79,97,93,8,Yes,No,Pass
6,58,36,80,6,Yes,No,Pass
2,83,83,79,5,No,No,Pass
2,93,30,35,8,Yes,Yes,Fail
4,84,73,88,6,No,No,Pass
8,71,74,44,6,Yes,Yes,Pass
7,93,76,59,6,No,Yes,Pass
9,73,42,71,9,No,Yes,Pass
8,66,51,66,9,No,Yes,Pass
5,59,50,71,6,Yes,Yes,Pass
2,79,38,64,9,Yes,Yes,Fail
5,95,55,35,7,No,Yes,Pass
8,72,38,97,6,No,No,Pass
9,81,44,47,7,Yes,No,Pass
9,66,39,58,7,Yes,No,Pass
1,99,71,88,6,Yes,Yes,Pass
9,100,53,76,5,Yes,Yes,Pass
7,66,78,46,6,Yes,Yes,Pass
9,63,55,51,6,No,Yes,Pass
8,58,66,97,9,Yes,No,Pass
1,89,97,98,6,No,Yes,Pass
8,51,79,66,5,No,No,Pass
8,94,53,78,9,Yes,Yes,Pass
3,74,48,42,4,Yes,No,Fail
1,88,89,63,4,No,Yes,Pass
8,58,68,82,7,Yes,No,Pass
3,71,47,80,7,No,Yes,Pass
3,92,48,32,5,Yes,No,Fail
1,95,65,71,8,Yes,Yes,Pass
5,53,84,61,4,Yes,No,Pass
7,75,98,80,7,No,No,Pass
9,78,76,75,4,Yes,Yes,Pass
7,94,78,50,5,No,No,Pass
9,83,62,73,5,Yes,Yes,Pass
8,72,50,40,8,No,Yes,Pass
2,86,51,97,8,Yes,Yes,Pass
1,60,77,30,9,No,No,Fail
7,55,66,92,5,No,No,Pass
7,67,44,53,7,No,Yes,Pass
8,70,64,42,4,No,Yes,Pass
5,91,100,40,6,No,No,Pass
3,85,61,80,8,No,No,Pass
8,90,40,46,6,Yes,No,Pass
6,87,39,53,7,No,Yes,Pass
3,83,86,48,8,No,Yes,Pass
1,66,54,66,6,No,Yes,Fail
3,86,31,37,7,Yes,Yes,Fail
5,74,93,57,4,Yes,Yes,Pass
3,87,64,34,7,Yes,No,Pass
1,61,36,46,9,No,Yes,Fail
5,72,47,65,8,Yes,No,Pass
7,91,96,48,5,Yes,No,Pass
7,71,71,93,4,No,Yes,Pass
9,70,68,40,6,No,No,Pass
3,76,70,83,8,Yes,Yes,Pass
7,80,53,74,5,No,No,Pass
1,55,89,76,7,No,Yes,Pass
4,76,75,41,5,No,Yes,Pass
4,89,48,50,8,No,No,Pass
5,83,97,40,8,Yes,Yes,Pass
7,61,71,34,9,No,No,Pass
7,94,61,85,9,Yes,Yes,Pass
4,56,68,49,5,Yes,Yes,Pass
7,59,65,70,7,Yes,Yes,Pass
3,94,65,75,5,Yes,No,Pass
6,66,32,41,8,No,No,Pass
2,75,37,99,8,No,Yes,Fail
9,70,99,46,6,No,No,Pass
5,77,70,48,9,Yes,Yes,Pass
6,95,97,55,6,Yes,No,Pass
4,51,42,77,4,Yes,No,Fail
7,92,78,81,8,No,Yes,Pass
9,50,89,99,6,Yes,Yes,Pass
7,100,31,84,5,No,Yes,Pass
1,85,89,62,9,No,Yes,Pass
1,100,34,91,9,No,Yes,Fail
9,75,73,52,7,No,No,Pass
9,78,56,44,5,Yes,No,Pass
4,70,61,56,7,No,Yes,Pass
9,60,50,93,6,Yes,Yes,Pass
3,89,37,80,4,No,Yes,Pass
7,60,79,82,5,Yes,No,Pass
6,85,96,80,5,Yes,Yes,Pass
8,98,73,76,5,No,Yes,Pass
9,88,87,33,7,No,No,Pass
5,89,32,36,6,No,No,Pass
1,84,99,64,5,Yes,No,Pass
3,83,31,77,5,No,No,Fail
8,96,73,74,9,No,Yes,Pass
6,73,31,48,4,Yes,No,Pass
8,71,64,92,9,No,No,Pass
9,54,59,67,9,Yes,Yes,Pass
4,82,37,96,4,No,Yes,Pass
1,85,51,88,6,Yes,Yes,Fail
1,96,73,98,9,Yes,No,Pass
4,69,87,42,6,No,Yes,Pass
7,68,65,76,9,Yes,No,Pass
2,84,98,90,8,No,No,Pass
3,92,60,60,4,No,No,Pass
1,66,76,51,9,Yes,Yes,Fail
5,94,84,72,8,No,No,Pass
1,92,91,96,7,Yes,Yes,Pass
8,83,59,83,8,Yes,Yes,Pass
1,58,84,39,5,Yes,Yes,Fail
1,75,45,71,9,Yes,No,Fail
2,51,41,93,8,Yes,No,Fail
2,58,46,50,6,Yes,No,Fail
6,58,45,95,7,Yes,Yes,Pass
7,89,41,70,9,Yes,No,Pass
5,66,37,53,5,No,No,Pass
1,50,32,64,8,No,No,Fail
1,74,45,85,7,Yes,No,Fail
3,92,59,59,9,No,No,Pass
2,89,52,86,7,No,Yes,Pass
5,91,34,76,5,No,Yes,Pass
6,74,94,64,8,No,Yes,Pass
7,88,59,48,7,No,Yes,Pass
4,84,50,37,7,No,No,Pass
7,52,99,55,4,Yes,Yes,Pass
8,99,51,100,7,No,No,Pass
1,86,61,59,4,No,Yes,Fail
6,93,62,36,8,No,Yes,Pass
8,93,45,96,9,No,Yes,Pass
5,100,67,94,9,Yes,No,Pass
